occurrenceID,plotCode,area,plateNumber,subplot,treeNumber,branchNumber,vernacularName,scientificName,x,y,dbh,TH,TBCP,TBCU,TBCD,TBHP,CBP,S1_death,S2_death,S3_death
707AE4D9-756F-4DD0-9ABA-88B2A52FD3B0,DJ-14,推移帶,19620,3,1,6,高山櫟,Quercus spinosa,640,940,2.3,3,70,1,1,33.33,100,1,1,1
CD18D5CD-5A7C-4B5F-BE73-E82315DCA710,DJ-14,推移帶,19621,3,1,7,高山櫟,Quercus spinosa,640,940,1.8,2,70,1,1,50,100,1,1,1
8BD3C7E0-5A1B-4138-BBF5-812D14D799F2,DJ-14,推移帶,19622,3,1,8,高山櫟,Quercus spinosa,640,940,2.5,3.5,70,1,1,28.57,100,1,1,1
DBE2ADA5-4474-412E-AEC2-41F09B5FEFE0,DJ-14,推移帶,19623,3,1,9,高山櫟,Quercus spinosa,640,940,2.2,3.5,70,1,1,28.57,100,1,1,1
46CA4EBB-C303-4D7D-8791-100FFF4B3185,DJ-14,推移帶,19624,3,1,10,高山櫟,Quercus spinosa,640,940,2.4,2.5,70,1,1,40,100,1,1,1
BEDD6D4A-1428-4BA6-87E1-A41642FAFEF2,DJ-14,推移帶,19625,3,1,11,高山櫟,Quercus spinosa,640,940,2,1.6,70,1,1,62.5,100,1,1,1
02602ACE-9517-439A-96E4-0A4A234F8585,DJ-14,推移帶,19626,3,1,12,高山櫟,Quercus spinosa,640,940,2,1.8,70,1,1,55.56,100,1,1,1
FB25E94A-2E3E-4E4F-BD27-58C8E58A9BCA,DJ-14,推移帶,19627,3,1,13,高山櫟,Quercus spinosa,640,940,2.2,2.5,70,1,1,40,100,1,1,1
405F0D3E-4AEA-4859-A0B4-879BFF1A6308,DJ-14,推移帶,19628,3,1,14,高山櫟,Quercus spinosa,640,940,1.9,2.3,70,1,1,43.48,100,1,1,1
D8283294-16DF-4171-9F01-81457E80310B,DJ-14,推移帶,19629,3,2,1,臺灣二葉松,Pinus taiwanensis,720,940,26.7,12,0,0.9,0.6,6.25,0,0,0,1
3691EC69-676D-488C-89BE-D39D29426CE0,DJ-14,推移帶,19630,3,3,1,臺灣二葉松,Pinus taiwanensis,730,580,15.9,9.5,50,3.1,1,21.58,80,1,1,1
B1BAEC2B-0FE2-4963-B3F7-97877FDF0BA6,DJ-14,推移帶,19631,4,1,1,臺灣二葉松,Pinus taiwanensis,620,470,3.7,3.5,0,0.85,0.15,14.29,70,1,1,1
126E8E1F-36F5-45D4-AC57-79016E1128E0,DJ-14,推移帶,19632,4,2,1,臺灣二葉松,Pinus taiwanensis,970,110,73,20,35,8,0,20,5,0,0,0
59A5D14A-660C-47B5-A0C5-A5C7D4985B5F,DJ-14,推移帶,19633,4,3,1,臺灣二葉松,Pinus taiwanensis,520,2,4.5,2.5,0,0,0,0,100,1,1,1
382A3868-3D8E-4CAF-B953-DD63C8097D10,DJ-15,推移帶,19646,1,1,1,臺灣馬醉木,Pieris taiwanensis,90,110,5.3,3,0,1.3,0.35,27.5,50,0,0,0
C0B22CD4-8C61-41A3-A52E-7899AAE77E76,DJ-15,推移帶,19647,1,1,2,臺灣馬醉木,Pieris taiwanensis,90,110,3.2,2.5,0,1.3,0.35,33,50,0,0,0
4D2A409E-2729-4BE7-95D5-F2015A79613E,DJ-15,推移帶,19648,1,1,3,臺灣馬醉木,Pieris taiwanensis,90,110,3.1,3,0,1.3,0.35,27.5,40,0,0,0
FC6EE339-40BB-48FF-9F6D-DA22372BB5A4,DJ-15,推移帶,19649,1,1,4,臺灣馬醉木,Pieris taiwanensis,90,110,2.3,3,0,1.3,0.35,27.5,100,1,1,1
98452961-F092-4D94-AAC5-25EFEE1DC211,DJ-15,推移帶,19650,1,1,5,臺灣馬醉木,Pieris taiwanensis,90,110,4,3,5,1.3,0.35,27.5,100,1,1,1
89EAAED6-6258-47F0-A5BD-C7C5127E1A81,DJ-15,推移帶,19651,1,1,6,臺灣馬醉木,Pieris taiwanensis,90,110,4.2,3,0,1.3,0.35,27.5,20,0,0,0
35FF2B73-4980-4DFB-8DCA-446380496569,DJ-15,推移帶,19652,1,2,1,臺灣馬醉木,Pieris taiwanensis,130,200,2.7,2.5,0,0.5,0.25,15,100,1,0,1
32E20046-B3FE-4D5E-9D46-3AA016275237,DJ-15,推移帶,19653,1,2,2,臺灣馬醉木,Pieris taiwanensis,130,200,3,2.5,0,0.5,0.25,15,100,1,0,1
7569022A-606C-4DDB-B706-A2E1B3058D4E,DJ-15,推移帶,19654,1,3,1,刺柏,Juniperus formosana,60,450,5,3.5,0,0.5,0.5,14.29,50,1,1,1
E1218FA0-53B9-44D9-AFB6-81BC91B4DC69,DJ-15,推移帶,19655,1,3,2,刺柏,Juniperus formosana,60,450,5,3,0,0.5,0.5,16.67,50,1,1,1
8F75C78E-A694-4121-AAF8-F99D06A2720C,DJ-15,推移帶,19656,1,3,3,刺柏,Juniperus formosana,60,450,3.2,2,0,0.5,0.5,25,50,1,1,1
26159355-EAC1-43D3-BACB-96384F27DE5B,DJ-15,推移帶,19657,2,1,1,臺灣二葉松,Pinus taiwanensis,40,685,8.2,5.5,20,1.5,0.4,17.27,100,1,1,1
F1C83233-7C6F-412E-959D-D277EF95DBCC,DJ-15,推移帶,19658,2,2,1,臺灣二葉松,Pinus taiwanensis,60,750,36,13,10,1.8,0.8,10,0,0,0,0
2D859C67-0610-45BC-A88E-DB80C659E88E,DJ-15,推移帶,19659,2,2,2,臺灣二葉松,Pinus taiwanensis,60,750,20,9,25,1.3,1.1,13.33,5,0,0,0
